           _                 _    
  __ _  __| |_ __ __ _ _ __ | |_  
 / _` |/ _` | '__/ _` | '_ \| __| 
| (_| | (_| | | | (_| | | | | |_  
 \__, |\__,_|_|  \__,_|_| |_|\__| 
    |_|                           

Version: 1.17.0, build: 4ab6d2ee
Access web UI at http://localhost:6333/dashboard

2026-08-13T12:57:55.737834Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/count HTTP/1.1" 200 56 "-" "curl/8.9.0" 0.055901
2026-08-13T12:57:56.026232Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/count HTTP/1.1" 200 56 "-" "curl/8.9.0" 0.030213
2026-08-13T12:57:56.294854Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections/documents_satcom_uma HTTP/1.1" 200 834 "-" "curl/8.9.0" 0.001896
2026-08-13T12:57:56.529922Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections/documents_satcom_uma HTTP/1.1" 200 834 "-" "curl/8.9.0" 0.000451
2026-08-13T13:39:10.447788Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 610 "-" "python-client/1.16.1 python/3.9.1" 0.015162
2026-08-13T13:39:12.489747Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 4553 "-" "python-client/1.16.1 python/3.9.1" 0.017280
2026-08-13T13:43:19.330379Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 610 "-" "python-client/1.16.1 python/3.9.1" 0.014725
2026-08-13T13:43:21.391616Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 4553 "-" "python-client/1.16.1 python/3.9.1" 0.019936
2026-08-13T21:01:43.267734Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 625 "-" "python-client/1.16.1 python/3.9.1" 0.027674
2026-08-13T21:01:45.301350Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 4330 "-" "python-client/1.16.1 python/3.9.1" 0.017417
2026-08-13T21:02:29.591485Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 624 "-" "python-client/1.16.1 python/3.9.1" 0.015998
2026-08-13T21:02:31.633206Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 4332 "-" "python-client/1.16.1 python/3.9.1" 0.018255
2026-08-13T21:03:46.764355Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 625 "-" "python-client/1.16.1 python/3.9.1" 0.015216
2026-08-13T21:03:48.805579Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 4331 "-" "python-client/1.16.1 python/3.9.1" 0.016841
2026-08-13T21:06:35.403465Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 610 "-" "python-client/1.16.1 python/3.9.1" 0.017642
2026-08-13T21:06:37.441825Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 4553 "-" "python-client/1.16.1 python/3.9.1" 0.017778
2026-08-13T21:12:13.127004Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 610 "-" "python-client/1.16.1 python/3.9.1" 0.025404
2026-08-13T21:12:15.182354Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 4553 "-" "python-client/1.16.1 python/3.9.1" 0.022242
2026-08-13T21:12:52.540808Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 610 "-" "python-client/1.16.1 python/3.9.1" 0.022887
2026-08-13T21:12:54.577952Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 4552 "-" "python-client/1.16.1 python/3.9.1" 0.018738
2026-08-13T21:14:50.696888Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 625 "-" "python-client/1.16.1 python/3.9.1" 0.014653
2026-08-13T21:14:52.729335Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 4332 "-" "python-client/1.16.1 python/3.9.1" 0.020746
2026-08-13T21:17:57.458657Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 625 "-" "python-client/1.16.1 python/3.9.1" 0.015840
2026-08-13T21:17:59.543323Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 4330 "-" "python-client/1.16.1 python/3.9.1" 0.027194
2026-08-13T21:18:13.983034Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 682 "-" "python-client/1.16.1 python/3.9.1" 0.017690
2026-08-13T21:18:16.046749Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 4137 "-" "python-client/1.16.1 python/3.9.1" 0.020687
2026-08-13T21:18:29.766478Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 946 "-" "python-client/1.16.1 python/3.9.1" 0.015843
2026-08-13T21:18:31.798841Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 4601 "-" "python-client/1.16.1 python/3.9.1" 0.016707
2026-08-13T21:18:44.303337Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 1403 "-" "python-client/1.16.1 python/3.9.1" 0.018159
2026-08-13T21:18:46.373791Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 4254 "-" "python-client/1.16.1 python/3.9.1" 0.022520
2026-08-13T21:19:02.056717Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 851 "-" "python-client/1.16.1 python/3.9.1" 0.015403
2026-08-13T21:19:04.131458Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 4096 "-" "python-client/1.16.1 python/3.9.1" 0.026038
2026-08-13T21:19:21.054810Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/documents_satcom_uma/points/query HTTP/1.1" 200 1397 "-" "python-client/1.16.1 python/3.9.1" 0.018025
